10:14:05                        Запускается сервис Монитора Установки...
10:14:05                        Версия сервиса: 0x105
10:14:05                        Запускаем 'uTorrentPro_v3.6.0.47116.exe'...
10:14:05                        Монитор установки запущен
10:16:19    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\demux\is-K07T3.tmp
10:16:19    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\demux\libaiff_plugin.dll
10:16:19    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\demux\is-S0I1R.tmp
10:16:19    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\demux\libasf_plugin.dll
10:16:19    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\demux\is-8033R.tmp
10:16:19    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\demux\libau_plugin.dll
10:16:19    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\demux\is-45O15.tmp
10:16:19    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\demux\libavi_plugin.dll
10:16:19    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\demux\is-P56JT.tmp
10:16:19    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\demux\libdemuxdump_plugin.dll
10:16:19    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\demux\is-KQLJ1.tmp
10:16:19    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\demux\libdemux_cdg_plugin.dll
10:16:19    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\demux\is-O86KT.tmp
10:16:19    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\demux\libdemux_stl_plugin.dll
10:16:19    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\demux\is-N52TG.tmp
10:16:19    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\demux\libdirac_plugin.dll
10:16:19    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\demux\is-GQR4L.tmp
10:16:19    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\demux\libes_plugin.dll
10:16:19    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\demux\is-O6ILN.tmp
10:16:19    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\demux\libflacsys_plugin.dll
10:16:19    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\demux\is-VH8D8.tmp
10:16:19    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\demux\libgme_plugin.dll
10:16:19    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\demux\is-N0TE5.tmp
10:16:19    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\demux\libh264_plugin.dll
10:16:19    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\demux\is-I5OB1.tmp
10:16:19    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\demux\libimage_plugin.dll
10:16:19    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\demux\is-4EVKJ.tmp
10:16:19    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\demux\liblive555_plugin.dll
10:16:19    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\demux\is-2JG2J.tmp
10:16:19    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\demux\libmjpeg_plugin.dll
10:16:19    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\demux\is-L05VT.tmp
10:16:19    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\demux\libmkv_plugin.dll
10:16:19    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\demux\is-ADE6P.tmp
10:16:19    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\demux\libmod_plugin.dll
10:16:19    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\demux\is-7H4ED.tmp
10:16:19    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\demux\libmp4_plugin.dll
10:16:19    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\demux\is-PNTEN.tmp
10:16:19    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\demux\libmpc_plugin.dll
10:16:19    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\demux\is-01JJG.tmp
10:16:19    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\demux\libmpgv_plugin.dll
10:16:19    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\demux\is-847RM.tmp
10:16:19    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\demux\libnsc_plugin.dll
10:16:19    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\demux\is-L4GLU.tmp
10:16:19    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\demux\libnsv_plugin.dll
10:16:19    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\demux\is-LUMFB.tmp
10:16:19    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\demux\libnuv_plugin.dll
10:16:19    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\demux\is-CRRTL.tmp
10:16:19    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\demux\libogg_plugin.dll
10:16:19    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\demux\is-989HG.tmp
10:16:19    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\demux\libplaylist_plugin.dll
10:16:19    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\demux\is-AVHHT.tmp
10:16:19    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\demux\libps_plugin.dll
10:16:19    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\demux\is-BML68.tmp
10:16:19    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\demux\libpva_plugin.dll
10:16:19    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\demux\is-PIP75.tmp
10:16:19    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\demux\librawaud_plugin.dll
10:16:19    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\demux\is-JDEJU.tmp
10:16:19    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\demux\librawdv_plugin.dll
10:16:19    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\demux\is-897T3.tmp
10:16:19    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\demux\librawvid_plugin.dll
10:16:19    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\demux\is-ULLP5.tmp
10:16:19    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\demux\libreal_plugin.dll
10:16:19    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\demux\is-MHGCN.tmp
10:16:19    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\demux\libsid_plugin.dll
10:16:19    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\demux\is-607IO.tmp
10:16:19    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\demux\libsmf_plugin.dll
10:16:19    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\demux\is-67U67.tmp
10:16:20    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\demux\libsubtitle_plugin.dll
10:16:20    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\demux\is-I24HR.tmp
10:16:20    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\demux\libts_plugin.dll
10:16:20    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\demux\is-5PMV3.tmp
10:16:20    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\demux\libtta_plugin.dll
10:16:20    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\demux\is-THO1N.tmp
10:16:20    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\demux\libty_plugin.dll
10:16:20    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\demux\is-6SUG2.tmp
10:16:20    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\demux\libvc1_plugin.dll
10:16:20    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\demux\is-8TBU1.tmp
10:16:20    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\demux\libvoc_plugin.dll
10:16:20    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\demux\is-ANP33.tmp
10:16:20    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\demux\libwav_plugin.dll
10:16:20    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\demux\is-7SKOJ.tmp
10:16:20    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\demux\libxa_plugin.dll
10:16:20    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\gui\is-NT8HC.tmp
10:16:20    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\gui\libqt4_plugin.dll
10:16:20    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\gui\is-9V2FG.tmp
10:16:20    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\gui\libskins2_plugin.dll
10:16:20    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\lua\is-BBVHC.tmp
10:16:20    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\lua\liblua_plugin.dll
10:16:20    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\meta_engine\is-GJ1J3.tmp
10:16:20    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\meta_engine\libfolder_plugin.dll
10:16:20    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\meta_engine\is-EN7KR.tmp
10:16:20    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\meta_engine\libtaglib_plugin.dll
10:16:20    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\misc\is-2HORV.tmp
10:16:20    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\misc\libaudioscrobbler_plugin.dll
10:16:20    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\misc\is-COLMO.tmp
10:16:20    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\misc\libexport_plugin.dll
10:16:20    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\misc\is-L5FGV.tmp
10:16:20    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\misc\libgnutls_plugin.dll
10:16:20    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\misc\is-BL8PA.tmp
10:16:20    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\misc\liblogger_plugin.dll
10:16:20    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\misc\is-C07T7.tmp
10:16:20    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\misc\libmemcpy_plugin.dll
10:16:20    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\misc\is-S5FJV.tmp
10:16:20    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\misc\libosd_parser_plugin.dll
10:16:20    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\misc\is-OIQM0.tmp
10:16:20    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\misc\libstats_plugin.dll
10:16:20    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\misc\is-PDGHF.tmp
10:16:20    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\misc\libxml_plugin.dll
10:16:20    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\mmx\is-V3UGV.tmp
10:16:20    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\mmx\libi420_rgb_mmx_plugin.dll
10:16:20    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\mmx\is-U7FTO.tmp
10:16:20    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\mmx\libi420_yuy2_mmx_plugin.dll
10:16:20    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\mmx\is-LH89U.tmp
10:16:20    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\mmx\libi422_yuy2_mmx_plugin.dll
10:16:20    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\mmx\is-6EH42.tmp
10:16:20    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\mmx\libmemcpymmx_plugin.dll
10:16:20    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\mmxext\is-94FP0.tmp
10:16:20    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\mmxext\libmemcpymmxext_plugin.dll
10:16:20    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\mux\is-5UDSS.tmp
10:16:20    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\mux\libmux_avi_plugin.dll
10:16:20    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\mux\is-N04OG.tmp
10:16:20    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\mux\libmux_dummy_plugin.dll
10:16:20    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\mux\is-TP0BS.tmp
10:16:20    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\mux\libmux_mp4_plugin.dll
10:16:20    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\mux\is-TO0R1.tmp
10:16:20    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\mux\libmux_mpjpeg_plugin.dll
10:16:20    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\mux\is-SMRE2.tmp
10:16:20    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\mux\libmux_ogg_plugin.dll
10:16:20    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\mux\is-6J1HE.tmp
10:16:20    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\mux\libmux_ps_plugin.dll
10:16:20    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\notify\is-CMDNK.tmp
10:16:20    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\notify\libmsn_plugin.dll
10:16:20    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\packetizer\is-9KN0Q.tmp
10:16:20    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\packetizer\libpacketizer_copy_plugin.dll
10:16:20    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\packetizer\is-D1B22.tmp
10:16:20    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\packetizer\libpacketizer_dirac_plugin.dll
10:16:20    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\packetizer\is-85J8H.tmp
10:16:20    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\packetizer\libpacketizer_flac_plugin.dll
10:16:20    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\packetizer\is-ASOA3.tmp
10:16:20    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\packetizer\libpacketizer_h264_plugin.dll
10:16:20    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\packetizer\is-H35O5.tmp
10:16:20    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\packetizer\libpacketizer_mlp_plugin.dll
10:16:20    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\packetizer\is-9ELTL.tmp
10:16:20    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\packetizer\libpacketizer_mpeg4audio_plugin.dll
10:16:20    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\packetizer\is-28FLG.tmp
10:16:20    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\packetizer\libpacketizer_mpeg4video_plugin.dll
10:16:20    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\packetizer\is-2F4Q0.tmp
10:16:20    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\packetizer\libpacketizer_mpegvideo_plugin.dll
10:16:20    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\services_discovery\is-E1SIN.tmp
10:16:20    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\services_discovery\libmediadirs_plugin.dll
10:16:20    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\services_discovery\is-H11PJ.tmp
10:16:20    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\services_discovery\libpodcast_plugin.dll
10:16:20    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\services_discovery\is-QNBK4.tmp
10:16:20    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\services_discovery\libsap_plugin.dll
10:16:20    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\services_discovery\is-TBJI4.tmp
10:16:20    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\services_discovery\libupnp_plugin.dll
10:16:20    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\services_discovery\is-99L6B.tmp
10:16:20    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\services_discovery\libwindrive_plugin.dll
10:16:20    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\sse2\is-R272J.tmp
10:16:20    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\sse2\libi420_rgb_sse2_plugin.dll
10:16:20    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\sse2\is-N7P45.tmp
10:16:20    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\sse2\libi420_yuy2_sse2_plugin.dll
10:16:20    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\sse2\is-5LMH6.tmp
10:16:20    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\sse2\libi422_yuy2_sse2_plugin.dll
10:16:20    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\stream_filter\is-I31CM.tmp
10:16:20    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\stream_filter\libstream_filter_httplive_plugin.dll
10:16:20    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\stream_filter\is-REMPE.tmp
10:16:20    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\stream_filter\libstream_filter_record_plugin.dll
10:16:20    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\stream_out\is-P159A.tmp
10:16:20    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\stream_out\libstream_out_autodel_plugin.dll
10:16:20    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\stream_out\is-EE79V.tmp
10:16:20    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\stream_out\libstream_out_bridge_plugin.dll
10:16:20    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\stream_out\is-VSP3J.tmp
10:16:20    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\stream_out\libstream_out_delay_plugin.dll
10:16:20    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\stream_out\is-P60IR.tmp
10:16:20    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\stream_out\libstream_out_description_plugin.dll
10:16:20    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\stream_out\is-JDMBB.tmp
10:16:20    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\stream_out\libstream_out_display_plugin.dll
10:16:20    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\stream_out\is-27T37.tmp
10:16:20    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\stream_out\libstream_out_dummy_plugin.dll
10:16:20    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\stream_out\is-HJ8CN.tmp
10:16:20    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\stream_out\libstream_out_duplicate_plugin.dll
10:16:20    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\stream_out\is-OFONI.tmp
10:16:20    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\stream_out\libstream_out_es_plugin.dll
10:16:20    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\stream_out\is-4K9M1.tmp
10:16:20    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\stream_out\libstream_out_gather_plugin.dll
10:16:20    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\stream_out\is-T92NK.tmp
10:16:20    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\stream_out\libstream_out_langfromtelx_plugin.dll
10:16:20    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\stream_out\is-5OTDS.tmp
10:16:20    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\stream_out\libstream_out_mosaic_bridge_plugin.dll
10:16:20    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\stream_out\is-25U4C.tmp
10:16:20    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\stream_out\libstream_out_raop_plugin.dll
10:16:20    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\stream_out\is-0BHP4.tmp
10:16:20    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\stream_out\libstream_out_record_plugin.dll
10:16:20    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\stream_out\is-0ACM1.tmp
10:16:20    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\stream_out\libstream_out_rtp_plugin.dll
10:16:20    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\stream_out\is-FFMGQ.tmp
10:16:20    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\stream_out\libstream_out_select_plugin.dll
10:16:20    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\stream_out\is-PK0A1.tmp
10:16:20    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\stream_out\libstream_out_setid_plugin.dll
10:16:20    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\stream_out\is-3LK8B.tmp
10:16:20    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\stream_out\libstream_out_smem_plugin.dll
10:16:20    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\stream_out\is-I2F14.tmp
10:16:20    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\stream_out\libstream_out_standard_plugin.dll
10:16:20    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\stream_out\is-J3G38.tmp
10:16:20    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\stream_out\libstream_out_transcode_plugin.dll
10:16:20    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\text_renderer\is-QR5D8.tmp
10:16:20    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\text_renderer\libfreetype_plugin.dll
10:16:20    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\text_renderer\is-HL7RE.tmp
10:16:20    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\text_renderer\libtdummy_plugin.dll
10:16:20    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\video_chroma\is-CEJFL.tmp
10:16:20    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\video_chroma\libgrey_yuv_plugin.dll
10:16:20    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\video_chroma\is-ULIMV.tmp
10:16:20    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\video_chroma\libi420_rgb_plugin.dll
10:16:20    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\video_chroma\is-2BG6Q.tmp
10:16:20    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\video_chroma\libi420_yuy2_plugin.dll
10:16:20    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\video_chroma\is-0BIE6.tmp
10:16:20    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\video_chroma\libi422_i420_plugin.dll
10:16:20    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\video_chroma\is-R8FCD.tmp
10:16:20    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\video_chroma\libi422_yuy2_plugin.dll
10:16:21    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\video_chroma\is-P911M.tmp
10:16:21    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\video_chroma\librv32_plugin.dll
10:16:21    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\video_chroma\is-8263E.tmp
10:16:21    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\video_chroma\libyuy2_i420_plugin.dll
10:16:21    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\video_chroma\is-5F70B.tmp
10:16:21    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\video_chroma\libyuy2_i422_plugin.dll
10:16:21    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\video_filter\is-POPM3.tmp
10:16:21    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\video_filter\libadjust_plugin.dll
10:16:21    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\video_filter\is-D05T6.tmp
